               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  84,            0.025869,           0.0093249,           0.0024696,             0.93392,             0.92416,             0.95811,             0.71649,            0.022369,           0.0043002,           0.0020058,           0.0091783,           0.0091783,           0.0091783
                  85,            0.024602,           0.0083787,           0.0024915,             0.96008,             0.92735,             0.96903,             0.73459,            0.021286,            0.004564,           0.0019397,           0.0091684,           0.0091684,           0.0091684
                  86,            0.025953,           0.0088229,            0.002326,             0.95132,             0.90851,             0.96172,             0.71238,            0.021632,           0.0047482,           0.0020682,           0.0091585,           0.0091585,           0.0091585
                  87,            0.024207,           0.0087672,           0.0017892,             0.94445,             0.93561,             0.96126,             0.72893,            0.022406,           0.0052736,           0.0021479,           0.0091486,           0.0091486,           0.0091486
                  88,            0.026556,           0.0086815,           0.0028876,             0.91465,             0.91987,             0.96128,             0.68956,            0.024718,           0.0050998,           0.0026451,           0.0091387,           0.0091387,           0.0091387
                  89,            0.025716,           0.0085173,           0.0018327,             0.94612,             0.94986,             0.96357,             0.73288,            0.021616,           0.0047994,           0.0024966,           0.0091288,           0.0091288,           0.0091288
                  90,            0.025774,           0.0080968,           0.0017602,             0.95465,             0.91889,             0.94895,             0.67041,            0.024807,           0.0049683,           0.0022537,           0.0091189,           0.0091189,           0.0091189
                  91,            0.024979,           0.0087673,           0.0020065,             0.95328,             0.92727,              0.9595,             0.72416,            0.021842,           0.0045946,           0.0021005,            0.009109,            0.009109,            0.009109
                  92,            0.023887,           0.0081488,           0.0020091,             0.96284,             0.92554,             0.95209,             0.69687,            0.023217,           0.0043728,           0.0023195,           0.0090991,           0.0090991,           0.0090991
                  93,            0.025294,           0.0078044,           0.0021112,             0.97251,             0.95047,             0.96806,             0.73047,            0.022151,           0.0041898,           0.0032083,           0.0090892,           0.0090892,           0.0090892
                  94,            0.025395,           0.0081063,           0.0023191,              0.9599,             0.90806,             0.94696,             0.69462,            0.023325,           0.0043456,           0.0026029,           0.0090793,           0.0090793,           0.0090793
                  95,            0.023523,           0.0079732,           0.0018388,             0.96721,             0.89671,             0.94945,              0.7008,            0.023717,           0.0043197,           0.0028439,           0.0090694,           0.0090694,           0.0090694
                  96,            0.024501,           0.0082529,           0.0019451,             0.93773,             0.89378,             0.93912,             0.71664,            0.022064,           0.0045269,           0.0024197,           0.0090595,           0.0090595,           0.0090595
                  97,            0.022891,           0.0081758,           0.0017935,              0.9578,             0.89939,             0.93522,             0.75919,            0.019961,           0.0046943,           0.0017156,           0.0090496,           0.0090496,           0.0090496
                  98,            0.024831,           0.0086468,            0.002283,             0.95966,             0.91523,             0.95233,             0.70593,            0.023322,           0.0045987,           0.0019275,           0.0090397,           0.0090397,           0.0090397
                  99,            0.023841,           0.0081938,           0.0020893,             0.92635,             0.93354,             0.94658,             0.71061,            0.022831,           0.0043999,           0.0015896,           0.0090298,           0.0090298,           0.0090298
                 100,            0.024352,           0.0079956,           0.0020751,             0.92784,             0.93432,              0.9547,             0.72534,            0.019796,           0.0046327,           0.0016487,           0.0090199,           0.0090199,           0.0090199
                 101,            0.023394,           0.0079156,           0.0018426,             0.96229,             0.91253,             0.95849,             0.73924,            0.021216,           0.0049285,           0.0014376,             0.00901,             0.00901,             0.00901
                 102,            0.024427,           0.0089236,           0.0023547,             0.98597,             0.91668,              0.9571,             0.74344,            0.020445,           0.0045249,           0.0017232,           0.0090001,           0.0090001,           0.0090001
                 103,            0.022269,           0.0079667,            0.002099,             0.95145,              0.9234,             0.95722,             0.74406,              0.0212,           0.0047261,           0.0016858,           0.0089902,           0.0089902,           0.0089902
                 104,             0.02343,           0.0078098,           0.0017819,             0.96454,              0.9065,               0.955,             0.74527,            0.022474,           0.0045967,           0.0020273,           0.0089803,           0.0089803,           0.0089803
                 105,            0.023942,           0.0085413,           0.0023642,             0.96636,             0.92444,             0.96274,             0.73537,            0.020054,           0.0042847,           0.0016005,           0.0089704,           0.0089704,           0.0089704
                 106,            0.022836,           0.0082821,           0.0018047,             0.92209,             0.92083,             0.95912,              0.7207,            0.020857,            0.004395,           0.0015665,           0.0089605,           0.0089605,           0.0089605
                 107,            0.023978,           0.0080149,           0.0032454,             0.96222,             0.92091,             0.96477,             0.71159,            0.020558,           0.0042929,           0.0017973,           0.0089506,           0.0089506,           0.0089506
                 108,            0.022948,           0.0080418,           0.0029265,             0.94299,              0.9315,              0.9658,             0.73119,            0.019852,           0.0048273,           0.0023256,           0.0089407,           0.0089407,           0.0089407
                 109,            0.023956,           0.0078546,           0.0020747,             0.92914,             0.94895,             0.96356,             0.73294,            0.020292,           0.0045685,           0.0019727,           0.0089308,           0.0089308,           0.0089308
                 110,            0.024255,           0.0082339,           0.0021181,              0.9269,             0.93124,             0.95629,             0.70487,            0.023001,           0.0046445,            0.002003,           0.0089209,           0.0089209,           0.0089209
                 111,            0.022677,           0.0075211,           0.0018126,             0.95282,              0.9173,             0.96458,             0.74019,            0.021146,           0.0045843,           0.0021169,            0.008911,            0.008911,            0.008911
                 112,            0.022072,           0.0076598,           0.0016117,             0.96351,             0.92514,             0.95982,             0.74287,            0.021325,           0.0043041,           0.0021043,           0.0089011,           0.0089011,           0.0089011
                 113,            0.022746,           0.0078599,           0.0017466,              0.9296,             0.90598,             0.95379,             0.73201,            0.021554,           0.0044571,           0.0023169,           0.0088912,           0.0088912,           0.0088912
                 114,            0.023872,            0.008269,           0.0024452,             0.95936,             0.93789,             0.95595,              0.7367,            0.020882,            0.004026,           0.0016392,           0.0088813,           0.0088813,           0.0088813
                 115,            0.023757,           0.0080547,           0.0020725,             0.90567,             0.92293,             0.94583,              0.7379,            0.020301,           0.0040357,           0.0019281,           0.0088714,           0.0088714,           0.0088714
                 116,             0.02373,           0.0077075,           0.0027881,             0.87923,             0.93917,             0.92926,             0.69766,            0.021434,           0.0047387,           0.0026305,           0.0088615,           0.0088615,           0.0088615
                 117,            0.023421,           0.0083152,           0.0016361,              0.9093,             0.89771,             0.93182,             0.69703,            0.021267,           0.0044219,           0.0026324,           0.0088516,           0.0088516,           0.0088516
                 118,            0.022878,           0.0077318,           0.0027021,             0.95468,             0.89333,             0.94725,             0.72491,            0.021239,           0.0041274,           0.0030848,           0.0088417,           0.0088417,           0.0088417
                 119,            0.022409,            0.008393,           0.0018507,             0.95527,              0.9044,             0.96565,             0.73846,            0.020687,           0.0042346,           0.0018521,           0.0088318,           0.0088318,           0.0088318
